コード	企業名	競合リスト
343A	IACEトラベル	
340A	ジグザグ	
341A	トヨコー	
339A	プログレス・テクノロジーズグループ	
336A	ダイナミックマッププラットフォーム	
338A	ZenmuTech	
334A	ビジュアル・プロセッシング・ジャパン	
335A	ミライロ	
9388	パパネッツ	
332A	ミーク	
5016	JX金属	
331A	メディックス	
330A	TalentX	
325A	TENTIAL	
324A	ブッキングリゾート	
323A	フライヤー	
319A	技術承継機構	
7790	バルコス	
302A	ビースタイルホールディングス	
303A	visumo	
304A	フォルシア	
298A	GVA TECH	
297A	アルピコホールディングス	
300A	MIC	
5241	日本オーエー研究所	
296A	令和アカウンティング・ホールディングス	
299A	dely	
290A	Synspective	
285A	キオクシアホールディングス	
291A	リスキル	
289A	ファイントゥデイホールディングス	
287A	黒田グループ	"[{""code"": ""167A"", ""name"": ""リョー菱洋""}, {""code"": ""7467"", ""name"": ""萩原電気H""}, {""code"": ""8141"", ""name"": ""新光商事""}]"
288A	ラクサス・テクノロジーズ	"[{""code"": ""3396"", ""name"": ""フェリシモ""}, {""code"": ""4666"", ""name"": ""パーク24""}, {""code"": ""9557"", ""name"": ""エアクロゼ""}]"
286A	ユカリア	"[{""code"": ""2413"", ""name"": ""エムスリー""}, {""code"": ""4480"", ""name"": ""メドレー""}, {""code"": ""4483"", ""name"": ""JMDC""}]"
281A	インフォメティス	"[{""code"": ""1711"", ""name"": ""SDSHD""}, {""code"": ""5582"", ""name"": ""グリッド""}, {""code"": ""5585"", ""name"": ""エコナビ""}]"
280A	TMH	"[{""code"": ""3173"", ""name"": ""コミニクス""}, {""code"": ""7467"", ""name"": ""萩原電気H""}, {""code"": ""8141"", ""name"": ""新光商事""}]"
